,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10343,0.004,0.004,1,0,43.14,-0.15000000000000036,-0.034,-0.02,-0.013,0.481,0.183,0.0,-0.05,0,48.0,1
10344,0.004,0.008,2,0,48.3,-0.10999999999999943,-0.03,-0.013,-0.016,0.516,0.219,0.038,-0.009,0,49.0,1
10345,-0.007,-0.007,0,1,42.13,-0.16999999999999993,-0.031,-0.012,-0.019,0.451,0.156,-0.021,-0.063,0,50.0,1
10346,0.0,0.0,0,0,42.13,-0.16999999999999993,-0.032,-0.01,-0.022,0.447,0.153,-0.02,-0.057,0,51.0,1
10347,-0.002,-0.002,0,1,40.14,-0.1899999999999995,-0.033,-0.009,-0.024,0.422,0.13,-0.038,-0.069,0,52.0,1
10348,0.001,0.001,1,0,41.62,-0.16000000000000014,-0.034,-0.008,-0.026,0.428,0.137,-0.027,-0.054,0,53.0,1
10349,0.001,0.002,2,0,43.14,-0.15000000000000036,-0.033,-0.005,-0.027,0.434,0.144,-0.017,-0.04,0,54.0,1
10350,0.007,0.009000000000000001,3,0,51.3,-0.08999999999999986,-0.027,0.001,-0.027,0.489,0.2,0.042,0.018,0,55.0,1
10351,0.001,0.010000000000000002,4,0,52.52,-0.08000000000000007,-0.021,0.005,-0.026,0.494,0.206,0.05,0.026,0,56.0,1
10352,-0.002,-0.002,0,1,49.83,-0.10000000000000142,-0.018,0.007,-0.024,0.469,0.182,0.029,0.005,0,57.0,1
10353,0.005,0.005,1,0,55.92,-0.05000000000000071,-0.011,0.011,-0.022,0.514,0.228,0.075,0.05,0,58.0,1
10354,0.002,0.007,2,0,58.11,-0.030000000000001137,-0.004,0.014,-0.018,0.529,0.243,0.092,0.063,0,59.0,0
10355,0.0,0.007,0,0,58.11,-0.030000000000001137,0.001,0.016,-0.014,0.523,0.238,0.088,0.057,0,60.0,0
